index,metadata,proba_jeunesse,proba_aventures,proba_policier,proba_autobio,proba_sentiment,prediction,accord
1950_Delly_Le-violon-du-tzigane,roman sentimental,0.7396188797046273,0.006063011511701646,0.01758208385882141,0.0017308686610246855,0.23500515626382515,littérature jeunesse,False
1878_Chavannes-de-La-Giraudiere-Hippolyte-de_Patrice,littérature jeunesse,0.43710213483682836,0.2872666731858797,0.06895840759115181,0.2014028302361406,0.005269954149998933,littérature jeunesse,True
1877_Gayet-de-Cesena-Amedee_Le-Chapelet-d-amour,roman d'aventures,0.16966706414130409,0.6577828653634578,0.09539725624896457,0.02582045989833756,0.051332354347935955,roman d'aventures,True
2011_Borromee-Pierre_L-hermine-etait-pourpre,policier,0.009564826214578832,0.01243685017895947,0.8793903020621179,0.004583292724464403,0.09402472881987942,policier,True
1946_Delly_Les-deux-crimes-de-Thecle,roman sentimental,0.19196609549748334,0.004334671831974558,0.06336411488886866,0.011551888497103872,0.7287832292845694,littérature jeunesse,False
1939_Leiris-Michel_L-Age-d-homme,mémoires et autobiographie,0.0016488757638759826,0.00018114965398861456,0.0010931649488845193,0.9965774545916012,0.0004993550416494414,mémoires et autobiographie,True
1952_Delly_Le-roseau-brise,roman sentimental,0.27328884393496194,0.005323746864583925,0.032615198651488445,0.009896432563136366,0.6788757779858294,littérature jeunesse,False
1950_Delly_L'enfant-mysterieuse,roman sentimental,0.034650059709395484,0.026817087372062065,0.058888008588819866,0.005606047936351568,0.8740387963933709,roman sentimental,True
1910_Delly_Esclave-ou-reine,roman sentimental,0.15847926613418328,0.007635042718986788,0.012121642219901389,0.0011490229462914768,0.8206150259806372,littérature jeunesse,False
1981_Delly_Ma-robe-couleur-du-temps,roman sentimental,0.3729434284531297,0.003477445449537537,0.01645783714074241,0.04218238067255323,0.5649389082840374,littérature jeunesse,False
1913_Delly_Entre-deux-ames,roman sentimental,0.051714910150413164,0.0032310448055219965,0.0067312804412961265,0.0005469539567181206,0.9377758106460505,roman sentimental,True
1961_Delly_Ahelya-fille-des-Indes,roman sentimental,0.023326401946732477,0.05229503553637831,0.03653985228221608,0.004107388552212135,0.8837313216824612,roman sentimental,True
1951_Delly_La-maison-des-belles-colonnes-la-louve-devorante,roman sentimental,0.618144627842875,0.022927652904505772,0.021997960249962603,0.007205044878560782,0.32972471412409565,littérature jeunesse,False
