index,metadata,proba_jeunesse,proba_aventures,proba_policier,proba_autobio,proba_sentiment,prediction,accord
1961_Delly_Ahelya-fille-des-Indes,roman sentimental,0.011566427511972139,0.0725588367128648,0.03395864940853946,0.004088654693758074,0.8778274316728655,roman sentimental,True
1981_Delly_L'heritage-de-Cendrillon,roman sentimental,0.10503617234676146,0.02438552362536116,0.01446159727496167,0.0037067146686411024,0.8524099920842746,roman sentimental,True
1930_Delly_La-maison-du-lis,roman sentimental,0.9766510490471756,0.0017980275539219398,0.00109137902210702,0.0005989070772420086,0.019860637299553605,littérature jeunesse,False
1954_Delly_L'heritier-des-ducs-de-Sailles,roman sentimental,0.6285636775186756,0.04326629740375057,0.017839448427583903,0.006330295852980956,0.304000280797009,littérature jeunesse,False
1956_Delly_Annonciade,roman sentimental,0.021132534097904835,0.008102051864414286,0.01808434742535237,0.008094906728241596,0.9445861598840865,roman sentimental,True
1951_Delly_La-maison-des-belles-colonnes-L'accusatrice,roman sentimental,0.537916607399475,0.07827039530742257,0.03462056390563053,0.014355732304236844,0.3348367010832349,littérature jeunesse,False
1951_Delly_La-maison-des-belles-colonnes-la-louve-devorante,roman sentimental,0.6426394156802524,0.028953937757611254,0.009125350366630912,0.008997892217825949,0.31028340397767973,littérature jeunesse,False
1955_Delly_Ourida,roman sentimental,0.3399850694875073,0.08935413775030915,0.13328447073436842,0.009096236557804902,0.42828008547001034,littérature jeunesse,False
1926_Delly_L'infidele,roman sentimental,0.20279732141015133,0.003857681921198159,0.013598104665535009,0.006339165665350146,0.7734077263377654,roman sentimental,True
1934_Delly_La-douloureuse-victoire,roman sentimental,0.06462920214556123,0.004053797323383117,0.004007293676286157,0.0027954175754168714,0.9245142892793526,roman sentimental,True
1949_Delly_La-villa-des-serpents,roman sentimental,0.6204655110079654,0.03590507594186939,0.03212829563242353,0.012831012135825012,0.2986701052819164,littérature jeunesse,False
1928_Delly_Cœurs-ennemis-Laquelle,roman sentimental,0.28866885977035966,0.036993571137139,0.009330645536956728,0.0063977445467935925,0.6586091790087512,littérature jeunesse,False
1897_Gerald-Montmeril_Chryseis-au-desert,littérature jeunesse,0.8137687849897584,0.10677774791479694,0.04038045219154764,0.02171159703158016,0.017361417872316934,littérature jeunesse,True
1925_Robida-Albert_Un-chalet-dans-les-airs,littérature jeunesse,0.42098495506598116,0.3640922873680178,0.13101351814300574,0.05325266788181863,0.0306565715411766,roman d'aventures,False
1913_Delly_Dans-l'ombre-du-mystere,roman sentimental,0.10513046508090375,0.005636059567123821,0.015287976737658481,0.04684974190068011,0.8270957567136337,roman sentimental,True
1896_Aicard-Jean_Notre-Dame-d-Amour,roman sentimental,0.5140051086843408,0.32767596344294897,0.023516711957986946,0.045257050464644934,0.08954516545007811,littérature jeunesse,False
1990_Perec-Georges_Je-suis-ne,mémoires et autobiographie,0.16415139560729583,0.02108387577389624,0.480539911643864,0.30925519824069847,0.024969618734245486,mémoires et autobiographie,True
1955_Delly_Le-roi-aux-yeux-de-reve,roman sentimental,0.8203750752942219,0.0014182877614820138,0.0015635183675921857,0.002118817274477054,0.17452430130222676,littérature jeunesse,False
1867_Sauquet-Victor_L-Enfant-des-montagnes,littérature jeunesse,0.12246857468425426,0.8423473234910822,0.010774995322745413,0.021982367993479076,0.002426738508438988,roman d'aventures,False
1956_Delly_La-maison-dans-la-foret,roman sentimental,0.9122781172915931,0.024980278950411206,0.030393131753641237,0.0073318579091809265,0.02501661409517345,littérature jeunesse,False
1962_Delly_Fille-de-chouans,roman sentimental,0.22124492167759605,0.012811330543486502,0.01725404539199348,0.005009881341372423,0.7436798210455517,roman sentimental,True
1931_Nizan-Paul_Aden-Arabie,mémoires et autobiographie,0.0043916450091933705,0.003444367264191363,0.012696877084860064,0.978306412441279,0.001160698200476399,mémoires et autobiographie,True
1955_Delly_Pour-l'amour-d'Ourida,roman sentimental,0.044348761893973625,0.07167402039344009,0.08979907252945188,0.005235306339043085,0.7889428388440911,roman sentimental,True
1960_Delly_Le-feu-sous-la-glace,roman d'aventures,0.16400930652760723,0.08608316059360853,0.014821997264696936,0.009679645468706768,0.7254058901453806,roman sentimental,False
1906_Level-Maurice_L-epouvante,policier,0.00377770383344387,0.014722924221645744,0.9764243897389522,0.0005932607745093362,0.004481721431449373,policier,True
1891_Witt-Henriette-de_La-Petite-fille-aux-grand-meres,littérature jeunesse,0.9414182665424771,0.013865454545594262,0.006217589158765864,0.026100319705717776,0.012398370047445258,littérature jeunesse,True
1922_Delly_Mitsi,roman sentimental,0.1185245420099631,0.24460575109786672,0.055726279109727814,0.011632672701649211,0.5695107550807932,roman d'aventures,False
1918_Delly_Sous-le-masque,roman sentimental,0.23868210160520031,0.34625063320445965,0.0990033117974569,0.00870763945397924,0.3073563139389034,roman d'aventures,False
1968_Dhotel-Andre_L-Enfant-qui-disait-n-importe-quoi,littérature jeunesse,0.6645900976419411,0.11781124876699028,0.12254674316447367,0.019421426428552397,0.07563048399804237,littérature jeunesse,True
1948_Delly_La-rose-qui-tue,roman sentimental,0.15082530302485392,0.005443813903508464,0.014835745863216253,0.006711332364817293,0.8221838048436045,roman sentimental,True
1950_Delly_Rue-des-trois-graces,roman sentimental,0.5865305101547534,0.07299222356715025,0.22620337299026255,0.029835374561845356,0.08443851872598793,littérature jeunesse,False
1923_Delly_La-chatte-blanche,roman sentimental,0.02723784712725665,0.010628841273340947,0.018430281560504413,0.0036275364507459195,0.9400754935881522,roman sentimental,True
1981_Delly_Ma-robe-couleur-du-temps,roman sentimental,0.2839023351732809,0.011056748652586277,0.020129140678587065,0.07578365472660296,0.609128120768943,littérature jeunesse,False
1955_Delly_Salvatore-Falnerra,roman sentimental,0.4106524245592268,0.03937179847727565,0.042489292352302054,0.006660288282761345,0.5008261963284338,littérature jeunesse,False
2011_Borromee-Pierre_L-hermine-etait-pourpre,policier,0.015381760038476038,0.015763115910848613,0.885683218331079,0.005380058692981847,0.07779184702661462,policier,True
1935_Delly_Comme-un-conte-de-fees,roman sentimental,0.4817564251765748,0.010949583764770572,0.006581790791603031,0.0046011177934771885,0.49611108247357477,littérature jeunesse,False
1919_Delly_Magali,roman sentimental,0.05504464710178545,0.019510082742008456,0.00394235885587876,0.0022647726578044654,0.9192381386425227,roman sentimental,True
1971_Tournier-Michel_Vendredi-ou-la-vie-sauvage,littérature jeunesse,0.5354667554731384,0.42306790566645863,0.033425830982252165,0.003456438596048189,0.0045830692821027304,littérature jeunesse,True
1950_Delly_Aurore-de-Brusfeld,roman sentimental,0.27864711787184854,0.05554222273780606,0.032185949239401504,0.004828419191233442,0.6287962909597106,littérature jeunesse,False
1916_Delly_La-fin-d'une-Walkyrie,roman sentimental,0.10464439183736239,0.04792778747612483,0.028782170712210654,0.007833799064979085,0.8108118509093228,roman sentimental,True
1908_Delly_Une-femme-superieure,roman sentimental,0.1798676502972173,0.11049523344689915,0.010865897305493684,0.009632206668640344,0.6891390122817493,roman sentimental,True
1978_Perec-Georges_Je-me-souviens,mémoires et autobiographie,0.023289978214274268,0.017407405672166705,0.02140899314304805,0.9342319172567848,0.003661705713726309,mémoires et autobiographie,True
1967_Tournier-Michel_Vendredi-ou-les-limbes-du-Pacifique,roman d'aventures,0.19348237067155502,0.7110748884911923,0.06652797277589188,0.015915562676192777,0.012999205385168236,roman d'aventures,True
1953_Delly_Cite-des-anges,roman sentimental,0.11829533630318852,0.02481080647167386,0.05418378416499445,0.016202151013640295,0.7865079220465028,roman sentimental,True
1952_Delly_Le-roseau-brise,roman sentimental,0.2911684072948573,0.030750773012808562,0.027095661889527167,0.0224382054314224,0.6285469523713845,littérature jeunesse,False
1895_Mael-Pierre_Les-Derniers-Hommes-rouges,littérature jeunesse,0.02620172989983455,0.9670747282959928,0.004815140414218184,0.0005932635493802956,0.0013151378405743526,roman d'aventures,False
1930_Delly_Gille-de-Cesbres,roman sentimental,0.10882512681149668,0.010348632511548304,0.01967196522253557,0.0037797547356584428,0.857374520718761,roman sentimental,True
1896_Gyp_Bijou,littérature jeunesse,0.33239495258535273,0.003068010233583269,0.028560256331730417,0.005087444995322882,0.6308893358540107,littérature jeunesse,True
1940_Delly_Le-drame-de-l'étang-aux-biches,roman sentimental,0.16877762629101664,0.04193169864431595,0.049826074083109996,0.011091835157409174,0.7283727658241484,roman sentimental,True
2013_Thiery-Danielle_La-petite-fille-de-Marie-Gare,mémoires et autobiographie,0.0027071104116027016,0.0024486386724975454,0.06458057814249023,0.9162209456905029,0.014042727082906869,mémoires et autobiographie,True
