index,metadata,proba_jeunesse,proba_aventures,proba_policier,proba_autobio,proba_sentiment,prediction,accord
1953_Delly_Gwen-princesse-d'Orient,roman sentimental,0.1123242924421339,0.23098581153540795,0.08102945935166911,0.011043304448623292,0.5646171322221655,roman sentimental,True
1990_Perec-Georges_Je-suis-ne,mémoires et autobiographie,0.07581873470411593,0.05291259459556406,0.5948959393280886,0.25189343136287873,0.024479300009353253,policier,False
1913_Delly_Dans-l'ombre-du-mystere,roman sentimental,0.0550853720115947,0.008079847289961391,0.03342398827900351,0.06738120228651476,0.8360295901329259,roman sentimental,True
1950_Delly_Folie-de-sages,roman sentimental,0.15844520096297074,0.013294512120249853,0.007301258043985362,0.011928566609278756,0.8090304622635152,roman sentimental,True
1981_Delly_Ma-robe-couleur-du-temps,roman sentimental,0.21364374892765928,0.028834262997310116,0.08419058575363904,0.12960453223254034,0.5437268700888509,littérature jeunesse,False
1896_Gyp_Bijou,littérature jeunesse,0.24526468544982072,0.00898299036494744,0.05341949812134144,0.006207124412858787,0.6861257016510317,littérature jeunesse,True
1884_Racot-Adolphe-Pradel-Georges_Le-Diamant-rouge,roman d'aventures,0.0033861906135505106,0.8956785818283188,0.09911462871422963,0.0003471220270326551,0.0014734768168683432,roman d'aventures,True
1953_Delly_Cite-des-anges,roman sentimental,0.10484226909429699,0.06597695501186611,0.24097368993408347,0.032441187250490756,0.5557658987092625,policier,False
1956_Delly_La-biche-au-bois,roman sentimental,0.09476216157063036,0.07161694986287293,0.07822625225462078,0.009324309695815224,0.7460703266160607,roman sentimental,True
1918_Delly_Le-secret-du-Kou-Kou-Noor,roman sentimental,0.03356840764184981,0.12265425779887966,0.17099140844955318,0.010108049034246665,0.6626778770754709,roman sentimental,True
1916_Delly_La-fin-d'une-Walkyrie,roman sentimental,0.04403339558674578,0.018200073586773936,0.018046648722692495,0.005204059844683394,0.9145158222591044,roman sentimental,True
1962_Delly_Fille-de-chouans,roman sentimental,0.11780636332374352,0.015649041116638743,0.039652486990115705,0.005722180928438059,0.821169927641064,roman sentimental,True
1924_Istrati-Panait_Les-recits-d-Adrien-Zograffi_II,roman d'aventures,0.6986701895577226,0.11948834372015683,0.10470924739468258,0.05008199535739018,0.027050223970048397,littérature jeunesse,False
1955_Delly_Pour-l'amour-d'Ourida,roman sentimental,0.03177751882599125,0.11854858989868536,0.26930208377205295,0.008449609795091444,0.5719221977081789,policier,False
1952_Delly_Le-chant-de-la-misere,roman sentimental,0.3895628631886496,0.02113890606125372,0.045165687688697095,0.31353002353583564,0.2306025195255641,littérature jeunesse,False
1930_Delly_La-maison-du-lis,roman sentimental,0.9420473720884605,0.011595385669001798,0.004295920811710489,0.0013067183596355658,0.04075460307119153,littérature jeunesse,False
1895_Mael-Pierre_Les-Derniers-Hommes-rouges,littérature jeunesse,0.01737270922122055,0.9696879693200445,0.010660466947411516,0.0004654881853848691,0.0018133663259384,roman d'aventures,False
1950_Delly_Rue-des-trois-graces,roman sentimental,0.2958070899519652,0.21657913195579662,0.4107001096533529,0.01965062647370357,0.05726304196518183,policier,False
1951_Delly_Le-rubis-de-l'emir,roman sentimental,0.07293193283531973,0.02255277501395222,0.25847102870290994,0.006400150516700113,0.6396441129311178,policier,False
1926_Delly_La-vengeance-de-Ralph,roman sentimental,0.017588415768360177,0.004656320627492459,0.004978859228630993,0.0014396857132821586,0.9713367186622343,roman sentimental,True
1991_Vargas-Fred_L-homme-aux-cercles-bleus,policier,0.016781437432427316,0.012703989982352788,0.4776550352702848,0.011692935008174546,0.4811666023067602,policier,True
1952_Delly_Le-roseau-brise,roman sentimental,0.1000451469479963,0.07924538463866061,0.0731722187975786,0.033909794782437365,0.7136274548333271,roman sentimental,True
1878_Chavannes-de-La-Giraudiere-Hippolyte-de_Patrice,littérature jeunesse,0.3724119186876509,0.5354248233964504,0.04847830934705181,0.04049490523440505,0.0031900433344418558,roman d'aventures,False
1960_Delly_Les-deux-fraternites,roman sentimental,0.15247368979007264,0.08734989138891872,0.34553904634690874,0.00788140790795335,0.40675596456614654,policier,False
1960_Delly_Le-feu-sous-la-glace,roman d'aventures,0.19835291554828033,0.305218861409428,0.04739758572200903,0.01619038642331919,0.4328402508969634,roman d'aventures,True
1931_Nizan-Paul_Aden-Arabie,mémoires et autobiographie,0.006571272332746801,0.012682990366038108,0.02110383314950098,0.9583874741416901,0.0012544300100239083,mémoires et autobiographie,True
1910_Delly_Esclave-ou-reine,roman sentimental,0.12135975651589744,0.03079298014988506,0.04066295509991521,0.005205611646942323,0.8019786965873599,roman sentimental,True
1939_Leiris-Michel_L-Age-d-homme,mémoires et autobiographie,3.6036636969292256e-06,0.0007888847948100448,0.0008553238177854571,0.9978438103474716,0.0005083773762359561,mémoires et autobiographie,True
2013_Thiery-Danielle_La-petite-fille-de-Marie-Gare,mémoires et autobiographie,0.002103782910525632,0.0033708471308537013,0.023637674456247353,0.965618397112207,0.005269298390166457,mémoires et autobiographie,True
1873_Sannois-Comtesse-de_Les-Soirees-a-la-maison,littérature jeunesse,0.9277067649536258,0.02481785221049613,0.002351582401787705,0.04350172000477242,0.0016220804293181558,littérature jeunesse,True
1958_Delly_Lysis,roman sentimental,0.04191730280741466,0.006440158555317206,0.008672401100462109,0.007950516797501613,0.9350196207393046,roman sentimental,True
1951_Delly_Reinette,roman sentimental,0.09624189031665738,0.00257543748322313,0.005754361306487628,0.002930935092922702,0.8924973758007092,roman sentimental,True
1946_Delly_Les-deux-crimes-de-Thecle,roman sentimental,0.3830406664607553,0.025703048155035907,0.1183265538971176,0.06908497227973359,0.4038447592073577,littérature jeunesse,False
1923_Delly_La-chatte-blanche,roman sentimental,0.026953600453856363,0.02043019891405705,0.04466425494456974,0.007940622288521113,0.9000113233989959,roman sentimental,True
1940_Delly_Le-drame-de-l'étang-aux-biches,roman sentimental,0.10136083603998554,0.0432218981274578,0.057375082214914934,0.0122263498626477,0.7858158337549941,roman sentimental,True
1924_Delly_Le-roi-de-Kidji-le-secret-de-la-sarrasine,roman sentimental,0.12955520219331937,0.3827995373694932,0.29504940583610784,0.007534234788651149,0.18506161981242877,roman d'aventures,False
1865_Gautier-Theophile_La-belle-Jenny,roman d'aventures,0.004643018170901555,0.9732480388316018,0.021040419170187206,0.0007012194960947389,0.00036730433121473716,roman d'aventures,True
1990_Tournier-Michel_Sept-contes,littérature jeunesse,0.19315332070843869,0.008560177095380397,0.02201088069692645,0.7632642860550246,0.013011335444229714,mémoires et autobiographie,False
